,model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
97,fcn,ToeSegmentation2,0,0.9076923076923076,0.9076923076923076,0.9076923076923076,0.9076923076923076,2000,15.12680959701538
98,fcn,Trace,0,1.0,1.0,1.0,1.0,2000,29.967897415161133
99,fcn,TwoLeadECG,0,0.9991220368744512,0.9991220368744512,0.9991220368744512,0.9991235771606364,2000,8.948702573776245
100,fcn,TwoPatterns,0,0.87725,0.8770892265830409,0.87725,0.8781687252668184,2000,203.0296711921692
101,fcn,UMD,0,0.9930555555555556,0.993054801953337,0.9930555555555556,0.9931972789115646,2000,10.376404285430908
102,fcn,UWaveGestureLibraryAll,0,0.8132328308207705,0.8120325138270738,0.8132328308207705,0.8137889628375252,2000,679.7442514896393
103,fcn,UWaveGestureLibraryX,0,0.7632607481853713,0.7619611520735459,0.7632607481853713,0.7622999548413499,2000,319.4476397037506
104,fcn,UWaveGestureLibraryY,0,0.6549413735343383,0.6521497792058654,0.6549413735343383,0.6516366674978743,2000,318.84241914749146
105,fcn,UWaveGestureLibraryZ,0,0.7359017308766053,0.7319830426866248,0.7359017308766053,0.7297568656049689,2000,266.3823354244232
106,fcn,Wafer,0,0.9977287475665152,0.9977181102039884,0.9977287475665152,0.9977345153035132,2000,156.42815780639648
107,fcn,Wine,0,0.7777777777777778,0.7662337662337663,0.7777777777777778,0.8461538461538461,2000,12.31710958480835
108,fcn,WordSynonyms,0,0.4890282131661442,0.4216866438460399,0.4890282131661442,0.3887783467442637,2000,60.8241982460022
109,fcn,Worms,0,0.7792207792207793,0.7736962613225499,0.7792207792207793,0.7854617604617603,2000,107.36731696128844
110,fcn,WormsTwoClass,0,0.7662337662337663,0.7674216027874565,0.7662337662337663,0.7779063042220937,2000,107.60741686820984
111,fcn,Yoga,0,0.853,0.8529435661726288,0.853,0.8529299767886769,2000,97.02250170707704
112,fcn,AllGestureWiimoteX,0,0.6828571428571428,0.6839581744312262,0.6828571428571428,0.6873725454873562,2000,113.1893072128296
113,fcn,AllGestureWiimoteY,0,0.77,0.768360389868575,0.77,0.7747281443071175,2000,112.5625936985016
114,fcn,AllGestureWiimoteZ,0,0.7128571428571429,0.7110216981476147,0.7128571428571429,0.7149264377219906,2000,112.29920148849487
115,fcn,DodgerLoopDay,0,0.2207792207792207,0.1409774436090225,0.2207792207792207,0.145703933747412,2000,19.046156406402588
116,fcn,DodgerLoopGame,0,0.6771653543307087,0.6757555081021948,0.6771653543307087,0.6785015509424958,2000,8.179915428161621
117,fcn,DodgerLoopWeekend,0,0.9761904761904762,0.9762979556279628,0.9761904761904762,0.9765567765567766,2000,8.396531581878662
118,fcn,Fungi,0,0.9946236559139784,0.9947302140850528,0.9946236559139784,0.9952956989247312,2000,7.857506990432739
119,fcn,GestureMidAirD1,0,0.5615384615384615,0.504789682632492,0.5615384615384615,0.5157495282495282,2000,58.8010401725769
120,fcn,GestureMidAirD2,0,0.4076923076923077,0.3688763673098711,0.4076923076923077,0.4001776001776003,2000,58.76163077354431
121,fcn,GestureMidAirD3,0,0.3076923076923077,0.2969680081105421,0.3076923076923077,0.3752552272289113,2000,58.64882159233093
122,fcn,GesturePebbleZ1,0,0.8662790697674418,0.8691662675135324,0.8662790697674418,0.886086234291492,2000,47.24095606803894
123,fcn,GesturePebbleZ2,0,0.7848101265822784,0.7891723496420536,0.7848101265822784,0.8287505425514401,2000,50.728912115097046
124,fcn,MelbournePedestrian,0,0.9745579991375592,0.9744850598062812,0.9745579991375592,0.9745746129153524,2000,130.81500434875488
125,fcn,PickupGestureWiimoteZ,0,0.76,0.7185064935064935,0.76,0.7380952380952381,2000,15.28775668144226
126,fcn,ShakeGestureWiimoteZ,0,0.94,0.9393939393939392,0.94,0.95,2000,15.882700204849243
,fcn,PLAID,0,0.10614525139664804,0.07009463003078326,0.10614525139664804,0.10829082665371224,2000,1765.4213688373566
